,name,address,extAddress,locality,postalCode,country,openingDays,openingHours
298,,,[],,[],[],[],[]
299,,,[],,[],[],[],[]
300,,,[],,[],[],[],[]
301,,,[],,[],[],[],[]
302,Toyen Marked,Sorliplass,[],Oslo,[],['Norway'],[],[]
303,Christiania Torv,Christiania,[],Oslo,[],['Norway'],[],[]
304,Bantjern,Melkeveien,[],Oslo,['0779'],['Norway'],[],[]
305,Tryvann Skiskole,Trollvannsveien 3,"['Oslo Skisenter, Grefsenkollen']",Oslo,['0490'],['Norway'],[],[]
306,Sphinx,Folketeaterpassasjen Storgata 21,[],Oslo,['0184'],['Norway'],[],[]
307,Skattkammeret,Louises gate 1,[],Oslo,['0168'],['Norway'],[],[]
308,Voldsloekka Ice-Skating Rink,Stavangergata,[],Oslo,['0467'],['Norway'],[],[]
309,Office For Contemporary Art Norway (Oca),Nedre gate 7,[],Oslo,['0551'],['Norway'],[],[]
310,Old Ankerveien Hiking Trail,Maridalen-Baerums Verk,[],Oslo,['0150'],['Norway'],[],[]
311,Furuset Public Pool,Trygve Lies Plass 3,[],Oslo,['1051'],['Norway'],[],[]
312,Holmlia Public Pool,Holmlia Senter vei 34,[],Oslo,['1255'],['Norway'],[],[]
313,Gallery Semmingsen,Tjuvholmen alle 6,[],Oslo,['0252'],['Norway'],[],[]
314,Grefsen Church,Glads vei 45,[],Oslo,['0489'],['Norway'],[],[]
315,Church Ruins in Maridalen,Hammeren,[],Oslo,['890'],['Norway'],[],[]
316,Picasso and Nesjar Mural: The Fishermen,Y Block Akersgata 44,[],Oslo,['0180'],['Norway'],[],[]
317,Maridalen Church,Maridalen,[],Oslo,['861'],['Norway'],[],[]
318,Grunerhallen Indoor Ice-Skating Rink,Seilduksgata 30,[],Oslo,['0553'],['Norway'],[],[]
319,Gerhardsen Gerner Oslo,Fru Kroghs Brygge 4,[],Oslo,['0252'],['Norway'],[],[]
320,Soft Galleri: Norske Tekstilkunstnere Gallery,Raadhusgata 20,[],Oslo,['0151'],['Norway'],[],[]
321,Galleriverkstedet Workshop and Gallery,Hegdehaugsveien 12,[],Oslo,['0167'],['Norway'],[],[]
322,Gallery Tm51,Thorvald Meyers gate 51,[],Oslo,['0555'],['Norway'],[],[]
323,Fotografiens Hus Photo Gallery,Raadhusgata 20,[],Oslo,['0151'],['Norway'],[],[]
324,Bjorvika Konferansesenter,Dronning Eufemias gate 6,[],Oslo,['0191'],['Norway'],[],[]
325,The Greek Orthodox Church,Thor Olsens gate 9,[],Oslo,['0177'],['Norway'],[],[]
326,USE-IT Oslo,Moellergata 3,['First floor'],Oslo,['0179'],['Norway'],[],[]
327,Galleri Sand,Niels Juels gate 43,[],Oslo,['0257'],['Norway'],[],[]
328,Sondre Nordstrand Horse Centre,Klemetsrudveien 50,[],Oslo,['1278'],['Norway'],[],[]
329,Galleri KHK,Herslebs gate 14,[],Oslo,['0561'],['Norway'],[],[]
330,Oslo Prosjektrom,Lakkegata 21,[],Oslo,['0187'],['Norway'],[],[]
331,Galleri Norske Grafikere,Tollbugata 24,[],Oslo,['0157'],['Norway'],"['\nTue - Fri\n', '\nSat - Sun\n']","['10:00 am - 5:00 pm', '12:00 pm - 4:00 pm']"
332,Tegnerforbundet Gallery,Raadhusgata 17,[],Oslo,['0158'],['Norway'],[],[]
333,Grorud Church,Pastor Blaauws vei 3,[],Oslo,['0962'],['Norway'],[],[]
334,Artwork Gallery,Tromsoegata 5 B,[],Oslo,['0565'],['Norway'],[],[]
335,Tonsen Church,Traverveien 16,[],Oslo,['0588'],['Norway'],[],[]
336,Norske Bjornetjenester,Ringeriksveien 495 B,[],Oslo,['3538'],['Norway'],[],[]
337,Varingskollen Alpine Center,Vargveien,[],Oslo,['1488'],['Norway'],[],[]
338,0047 Oslo,Schweigaards gate 34D,[],Oslo,['0191'],['Norway'],[],[]
339,Peder Lund,Tjuvholmen alle 27,[],Oslo,['0252'],['Norway'],['\nWed - Sat\n'],['12:00 pm - 5:00 pm']
340,Gallery ROM,Maridalsveien 3,[],Oslo,['0178'],['Norway'],[],[]
341,Bjornholt Gard,Nordmarka,[],Oslo,['890'],['Norway'],[],[]
342,Sogn Public Bath,Sognsveien 80,[],Oslo,['0855'],['Norway'],[],[]
343,Nordberg Church,Kringsjaagrenda 1,[],Oslo,['0861'],['Norway'],[],[]
344,Artgate,Bygdoey alle 66,[],Oslo,['0265'],['Norway'],[],[]
345,Kunsthall Oslo,Trelastgata 3,[],Oslo,['0191'],['Norway'],[],[]
346,Galleri Heer,Seilduksgata 4,[],Oslo,['0553'],['Norway'],[],[]
347,Furuset Church,Ulsholtveien 37,[],Oslo,['1053'],['Norway'],[],[]
348,Skoyen Church,Skoeyenveien 43,[],Oslo,['0375'],['Norway'],[],[]
349,Jegstad Farm,Vestby Nord,[],Oslo,['1540'],['Norway'],[],[]
350,Fiskevollbukta Beach,Oslo/Omegn,[],Oslo,['0102'],['Norway'],[],[]
351,Ullern Church,Holgerslystveien 22,[],Oslo,['0280'],['Norway'],[],[]
352,Lovisenberg Church,Lovisenberggata 4,[],Oslo,['0456'],['Norway'],[],[]
353,Arvoll Farm,Aarvollveien 35,[],Oslo,['0590'],['Norway'],[],[]
354,Galleri Kunst-Treff,Kongens gate 5,[],Oslo,['0153'],['Norway'],[],[]
355,Gallery LNM,Kongens gate 2,[],Oslo,['0153'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['11:00 am - 5:00 pm', '12:00 pm - 4:00 pm']"
356,Skjerven Farm,Maridalsveien 469,[],Oslo,['0890'],['Norway'],[],[]
357,Ulleval Hospital Museum,Kirkeveien 166,[],Oslo,['0450'],['Norway'],[],[]
358,Young Artists' Society,Lakkegata 55D,[],Oslo,['0187'],['Norway'],[],[]
359,Leirskallen Ski Centre,Leirskallen,[],Oslo,['1164'],['Norway'],[],[]
360,Fronsvollen,Nordmarka,[],Oslo,['890'],['Norway'],[],[]
361,Ringnes Olsenter,Thorvald Meyers gate 2,[],Oslo,['0555'],['Norway'],[],[]
362,RAM Gallery,Kongens Gate 3,[],Oslo,['153'],['Norway'],[],[]
363,Fotogalleriet,Moellergata 34,[],Oslo,['0179'],['Norway'],[],[]
364,Arthe Kunsthus,Tjuvholmen alle 6,[],Oslo,['0252'],['Norway'],[],[]
365,Galleri Gude,Elisenbergveien 4,[],Oslo,['265'],['Norway'],[],[]
366,Torshov Church,Aasengata 19,[],Oslo,['0480'],['Norway'],[],[]
367,Galleri MAP,Toeyengata 32,[],Oslo,['0578'],['Norway'],['\nTue - Sun\n'],['1:00 pm - 5:00 pm']
368,Galleri K,Bjoern Farmanns gate 6,[],Oslo,['0271'],['Norway'],[],[]
369,Gamlebyen Church,Ekebergveien 1,[],Oslo,['0192'],['Norway'],[],[]
370,The Gallery Galleruff African Excellence in Art,Pilestredet 47 A,[],Oslo,['0350'],['Norway'],[],[]
371,Iladalen Church,Soeren Jaabaeks gate 5,[],Oslo,['0460'],['Norway'],[],[]
372,The Norwegian Museum of Veterinary History,Ullevaalsveien 72,[],Oslo,['0454'],['Norway'],[],[]
373,Haugerud Church,Haugerudsenteret 47,[],Oslo,['0673'],['Norway'],[],[]
374,Galleri Louise,"Saeterhytten, Bygdoy Kongsgard",[],Oslo,['287'],['Norway'],[],[]
375,Tryvann Skiskole,Tryvann,[],Oslo,['784'],['Norway'],[],[]
376,Gallery Haaken,Lille Frogner alle 6,[],Oslo,['0263'],['Norway'],"['\nWed - Fri\n', '\nSat - Sun\n']","['12:00 pm - 5:00 pm', '12:00 pm - 4:00 pm']"
377,Galleri Ramfjord,Frydenlundgata 17,[],Oslo,['169'],['Norway'],"['\nThu - Fri\n', '\nSat - Sun\n']","['12:00 pm - 6:00 pm', '12:00 pm - 4:00 pm']"
378,Galleri Brandstrup,Tjuvholmen alle 5,[],Oslo,['0252'],['Norway'],[],[]
379,Galleri Dobloug,St. Olavs gate 13 A,[],Oslo,['0165'],['Norway'],[],[]
380,Ovre Lyse Farm,Sorkedalen,[],Oslo,['0758'],['Norway'],[],[]
381,Frogner Manor House,Frognerveien 67,[],Oslo,['0266'],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
382,Galleri Dragedalen,Boegata 35,[],Oslo,['3800'],['Norway'],[],[]
383,Puppet Theater at Frogner (Dukketeatret pa Frogner),,[],Oslo,[],['Norway'],[],[]
384,Black Box Teater,Aker Brygge Stranden 3,[],Oslo,['0250'],['Norway'],[],[]
385,Viking Land (Vikinglandet),1433 Vinterbro,[],Oslo,[],['Norway'],[],[]
386,Finmark,,[],Oslo,[],['Norway'],[],[]
